reward maximum_reward best_actions total_actions
14.843999999999999 17.5 11 25
27.558 35 12 50
45.094000000000001 52.5 37 75
62.482999999999997 70 62 100
79.731999999999999 87.5 86 125
96.688999999999993 105 108 150
113.503 122.5 130 175
130.245 140 152 200
146.96700000000001 157.5 173 225
163.70500000000001 175 194 250
180.45699999999999 192.5 215 275
197.232 210 237 300
214.143 227.5 259 325
231.19900000000001 245 281 350
248.07300000000001 262.5 304 375
265.072 280 326 400
282.06799999999998 297.5 349 425
299.20299999999997 315 372 450
316.24200000000002 332.5 395 475
333.44200000000001 350 418 500
350.56999999999999 367.5 441 525
367.56299999999999 385 464 550
384.73899999999998 402.5 487 575
401.87799999999999 420 510 600
418.97500000000002 437.5 533 625
436.065 455 556 650
453.34899999999999 472.5 580 675
470.584 490 603 700
487.86799999999999 507.5 627 725
505.11599999999999 525 651 750
522.38900000000001 542.5 675 775
539.58600000000001 560 698 800
556.75599999999997 577.5 722 825
574.01700000000005 595 746 850
591.327 612.5 770 875
608.70600000000002 630 794 900
625.84699999999998 647.5 818 925
643.24699999999996 665 842 950
660.48099999999999 682.5 866 975
677.76900000000001 700 890 1000
694.95699999999999 717.5 914 1025
712.31899999999996 735 937 1050
729.49099999999999 752.5 961 1075
746.79200000000003 770 985 1100
764.02800000000002 787.5 1009 1125
781.33399999999995 805 1033 1150
798.38800000000003 822.5 1057 1175
815.77599999999995 840 1081 1200
833.04399999999998 857.5 1105 1225
850.41700000000003 875 1129 1250
867.76199999999994 892.5 1153 1275
885.18499999999995 910 1177 1300
902.53300000000002 927.5 1202 1325
919.93200000000002 945 1226 1350
937.27700000000004 962.5 1250 1375
954.61300000000006 980 1274 1400
971.97199999999998 997.5 1298 1425
989.30899999999997 1015 1322 1450
1006.673 1032.5 1347 1475
1024.0530000000001 1050 1371 1500
1041.3219999999999 1067.5 1395 1525
1058.5999999999999 1085 1419 1550
1075.867 1102.5 1443 1575
1093.2049999999999 1120 1467 1600
1110.422 1137.5 1491 1625
1127.577 1155 1515 1650
1145.011 1172.5 1539 1675
1162.3779999999999 1190 1563 1700
1179.7149999999999 1207.5 1587 1725
1197.0830000000001 1225 1611 1750
1214.4159999999999 1242.5 1636 1775
1231.9179999999999 1260 1660 1800
1249.174 1277.5 1684 1825
1266.431 1295 1708 1850
1283.9200000000001 1312.5 1732 1875
1301.338 1330 1757 1900
1318.6500000000001 1347.5 1781 1925
1335.9880000000001 1365 1805 1950
1353.3979999999999 1382.5 1830 1975
1370.8130000000001 1400 1854 2000
1388.3050000000001 1417.5 1878 2025
1405.665 1435 1902 2050
1422.9280000000001 1452.5 1927 2075
1440.2449999999999 1470 1951 2100
1457.721 1487.5 1976 2125
1475.127 1505 2000 2150
1492.653 1522.5 2025 2175
1510.002 1540 2049 2200
1527.3579999999999 1557.5 2073 2225
1544.6990000000001 1575 2098 2250
1562.124 1592.5 2122 2275
1579.498 1610 2147 2300
1596.711 1627.5 2171 2325
1614.0640000000001 1645 2195 2350
1631.345 1662.5 2220 2375
1648.759 1680 2244 2400
1666.1479999999999 1697.5 2269 2425
1683.5329999999999 1715 2293 2450
1700.9179999999999 1732.5 2317 2475
1718.3030000000001 1750 2342 2500
1735.626 1767.5 2366 2525
1753.1220000000001 1785 2391 2550
1770.472 1802.5 2415 2575
1787.9469999999999 1820 2440 2600
1805.338 1837.5 2464 2625
1822.8340000000001 1855 2489 2650
1840.2650000000001 1872.5 2513 2675
1857.579 1890 2538 2700
1874.9649999999999 1907.5 2562 2725
1892.4179999999999 1925 2586 2750
1909.7260000000001 1942.5 2611 2775
1926.9829999999999 1960 2635 2800
1944.3109999999999 1977.5 2660 2825
1961.6489999999999 1995 2684 2850
1978.9680000000001 2012.5 2709 2875
1996.5329999999999 2030 2733 2900
2013.905 2047.5 2758 2925
2031.271 2065 2782 2950
2048.674 2082.5 2807 2975
2066.0329999999999 2100 2831 3000
2083.4499999999998 2117.5 2856 3025
2100.8609999999999 2135 2880 3050
2118.239 2152.5 2905 3075
2135.5610000000001 2170 2930 3100
2152.8969999999999 2187.5 2954 3125
2170.4209999999998 2205 2979 3150
2187.752 2222.5 3003 3175
2205.1660000000002 2240 3028 3200
2222.672 2257.5 3052 3225
2240.058 2275 3077 3250
2257.3910000000001 2292.5 3101 3275
2274.75 2310 3125 3300
2292.183 2327.5 3150 3325
2309.5619999999999 2345 3175 3350
2327.0070000000001 2362.5 3199 3375
2344.4009999999998 2380 3224 3400
2361.8319999999999 2397.5 3248 3425
2379.2849999999999 2415 3273 3450
2396.7199999999998 2432.5 3297 3475
2414.2109999999998 2450 3322 3500
2431.7489999999998 2467.5 3347 3525
2449.1579999999999 2485 3371 3550
2466.6089999999999 2502.5 3396 3575
2483.893 2520 3421 3600
2501.364 2537.5 3445 3625
2518.7049999999999 2555 3470 3650
2536.056 2572.5 3494 3675
2553.5500000000002 2590 3519 3700
2570.9470000000001 2607.5 3543 3725
2588.3919999999998 2625 3568 3750
2605.9099999999999 2642.5 3593 3775
2623.2649999999999 2660 3617 3800
2640.8240000000001 2677.5 3642 3825
2658.2310000000002 2695 3667 3850
2675.645 2712.5 3691 3875
2692.998 2730 3716 3900
2710.4639999999999 2747.5 3741 3925
2727.931 2765 3766 3950
2745.3290000000002 2782.5 3791 3975
2762.7249999999999 2800 3815 4000
2780.2199999999998 2817.5 3840 4025
2797.5839999999998 2835 3865 4050
2814.9119999999998 2852.5 3890 4075
2832.3270000000002 2870 3914 4100
2849.7429999999999 2887.5 3939 4125
2867.0569999999998 2905 3963 4150
2884.5340000000001 2922.5 3988 4175
2901.8620000000001 2940 4012 4200
2919.2719999999999 2957.5 4037 4225
2936.672 2975 4062 4250
2954.2469999999998 2992.5 4086 4275
2971.6889999999999 3010 4111 4300
2989.0309999999999 3027.5 4136 4325
3006.5169999999998 3045 4161 4350
3023.971 3062.5 4185 4375
3041.2939999999999 3080 4210 4400
3058.7130000000002 3097.5 4234 4425
3076.2040000000002 3115 4259 4450
3093.6280000000002 3132.5 4284 4475
3110.9540000000002 3150 4308 4500
3128.3679999999999 3167.5 4333 4525
3145.7139999999999 3185 4357 4550
3163.1309999999999 3202.5 4382 4575
3180.5129999999999 3220 4407 4600
3197.9380000000001 3237.5 4431 4625
3215.4780000000001 3255 4456 4650
3232.855 3272.5 4481 4675
3250.123 3290 4506 4700
3267.623 3307.5 4530 4725
3285.1350000000002 3325 4555 4750
3302.587 3342.5 4579 4775
3320.1930000000002 3360 4604 4800
3337.5680000000002 3377.5 4629 4825
3354.9499999999998 3395 4654 4850
3372.3310000000001 3412.5 4679 4875
3389.7910000000002 3430 4703 4900
3407.3339999999998 3447.5 4728 4925
3424.71 3465 4753 4950
3442.1750000000002 3482.5 4777 4975
3459.6219999999998 3500 4802 5000
3477.0520000000001 3517.5 4826 5025
3494.4670000000001 3535 4851 5050
3512.056 3552.5 4876 5075
3529.498 3570 4900 5100
3547.0120000000002 3587.5 4925 5125
3564.453 3605 4950 5150
3581.819 3622.5 4974 5175
3599.3229999999999 3640 4999 5200
3616.6860000000001 3657.5 5024 5225
3634.2460000000001 3675 5049 5250
3651.672 3692.5 5073 5275
3669.076 3710 5098 5300
3686.5459999999998 3727.5 5123 5325
3703.9009999999998 3745 5147 5350
3721.3739999999998 3762.5 5172 5375
3738.8609999999999 3780 5197 5400
3756.1799999999998 3797.5 5221 5425
3773.5659999999998 3815 5246 5450
3791.0250000000001 3832.5 5270 5475
3808.3789999999999 3850 5295 5500
3825.7649999999999 3867.5 5320 5525
3843.2109999999998 3885 5344 5550
3860.5590000000002 3902.5 5369 5575
3878.0160000000001 3920 5393 5600
3895.424 3937.5 5418 5625
3912.8800000000001 3955 5443 5650
3930.3330000000001 3972.5 5467 5675
3947.6509999999998 3990 5492 5700
3965.0920000000001 4007.5 5517 5725
3982.5949999999998 4025 5542 5750
3999.9879999999998 4042.5 5566 5775
4017.5250000000001 4060 5591 5800
4035.1889999999999 4077.5 5616 5825
4052.7460000000001 4095 5641 5850
4070.386 4112.5 5666 5875
4087.9079999999999 4130 5691 5900
4105.3689999999997 4147.5 5715 5925
4122.8429999999998 4165 5740 5950
4140.3940000000002 4182.5 5765 5975
4157.808 4200 5790 6000
4175.2370000000001 4217.5 5815 6025
4192.7190000000001 4235 5839 6050
4210.1440000000002 4252.5 5864 6075
4227.5439999999999 4270 5889 6100
4244.8540000000003 4287.5 5913 6125
4262.2470000000003 4305 5938 6150
4279.6729999999998 4322.5 5963 6175
4296.9920000000002 4340 5987 6200
4314.4430000000002 4357.5 6012 6225
4331.8360000000002 4375 6037 6250
4349.2529999999997 4392.5 6062 6275
4366.8040000000001 4410 6086 6300
4384.1629999999996 4427.5 6111 6325
4401.6599999999999 4445 6136 6350
4419.2539999999999 4462.5 6161 6375
4436.7910000000002 4480 6185 6400
4454.1419999999998 4497.5 6210 6425
4471.6459999999997 4515 6235 6450
4489.0450000000001 4532.5 6259 6475
4506.4470000000001 4550 6284 6500
4523.9179999999997 4567.5 6309 6525
4541.2749999999996 4585 6334 6550
4558.79 4602.5 6358 6575
4576.1130000000003 4620 6383 6600
4593.5 4637.5 6408 6625
4610.942 4655 6432 6650
4628.3739999999998 4672.5 6457 6675
4645.8419999999996 4690 6482 6700
4663.3299999999999 4707.5 6506 6725
4680.9189999999999 4725 6531 6750
4698.4040000000005 4742.5 6556 6775
4715.8000000000002 4760 6580 6800
4733.1099999999997 4777.5 6605 6825
4750.4409999999998 4795 6630 6850
4767.777 4812.5 6655 6875
4785.2200000000003 4830 6679 6900
4802.7610000000004 4847.5 6704 6925
4820.1419999999998 4865 6729 6950
4837.7150000000001 4882.5 6754 6975
4855.0940000000001 4900 6779 7000
4872.6469999999999 4917.5 6804 7025
4890.0709999999999 4935 6829 7050
4907.5550000000003 4952.5 6853 7075
4925.018 4970 6878 7100
4942.5529999999999 4987.5 6903 7125
4960.0420000000004 5005 6928 7150
4977.5379999999996 5022.5 6953 7175
4995.0159999999996 5040 6978 7200
5012.4359999999997 5057.5 7002 7225
5029.8310000000001 5075 7027 7250
5047.3249999999998 5092.5 7052 7275
5064.6120000000001 5110 7076 7300
5082.0519999999997 5127.5 7101 7325
5099.4719999999998 5145 7126 7350
5117.0029999999997 5162.5 7150 7375
5134.4709999999995 5180 7175 7400
5151.8599999999997 5197.5 7200 7425
5169.3239999999996 5215 7225 7450
5186.8760000000002 5232.5 7250 7475
5204.3890000000001 5250 7274 7500
5221.8199999999997 5267.5 7299 7525
5239.2529999999997 5285 7324 7550
5256.7790000000005 5302.5 7349 7575
5274.1589999999997 5320 7374 7600
5291.6189999999997 5337.5 7399 7625
5309.0029999999997 5355 7423 7650
5326.433 5372.5 7448 7675
5343.9399999999996 5390 7473 7700
5361.3119999999999 5407.5 7498 7725
5378.7380000000003 5425 7523 7750
5396.1220000000003 5442.5 7547 7775
5413.6760000000004 5460 7572 7800
5431.0990000000002 5477.5 7597 7825
5448.4610000000002 5495 7622 7850
5465.7780000000002 5512.5 7646 7875
5483.2389999999996 5530 7671 7900
5500.7759999999998 5547.5 7696 7925
5518.3130000000001 5565 7721 7950
5535.7039999999997 5582.5 7746 7975
5553.1149999999998 5600 7771 8000
5570.5950000000003 5617.5 7795 8025
5587.9769999999999 5635 7820 8050
5605.3249999999998 5652.5 7845 8075
5622.8069999999998 5670 7870 8100
5640.1639999999998 5687.5 7895 8125
5657.6090000000004 5705 7920 8150
5675.0500000000002 5722.5 7944 8175
5692.527 5740 7969 8200
5709.8419999999996 5757.5 7994 8225
5727.2640000000001 5775 8019 8250
5744.6710000000003 5792.5 8043 8275
5762.0659999999998 5810 8068 8300
5779.5230000000001 5827.5 8093 8325
5797.0649999999996 5845 8118 8350
5814.4750000000004 5862.5 8143 8375
5831.9430000000002 5880 8168 8400
5849.5379999999996 5897.5 8192 8425
5866.9269999999997 5915 8217 8450
5884.5029999999997 5932.5 8242 8475
5902.076 5950 8267 8500
5919.6009999999997 5967.5 8292 8525
5936.9759999999997 5985 8316 8550
5954.375 6002.5 8341 8575
5971.8670000000002 6020 8366 8600
5989.3299999999999 6037.5 8391 8625
6006.8400000000001 6055 8416 8650
6024.3199999999997 6072.5 8440 8675
6041.8379999999997 6090 8465 8700
6059.3010000000004 6107.5 8490 8725
6076.6189999999997 6125 8515 8750
6094.1180000000004 6142.5 8540 8775
6111.652 6160 8565 8800
6129.0460000000003 6177.5 8590 8825
6146.6530000000002 6195 8614 8850
6164.0749999999998 6212.5 8639 8875
6181.6019999999999 6230 8664 8900
6199.0739999999996 6247.5 8689 8925
6216.6220000000003 6265 8713 8950
6234.1109999999999 6282.5 8738 8975
6251.6369999999997 6300 8763 9000
6269.0169999999998 6317.5 8788 9025
6286.5200000000004 6335 8813 9050
6303.9899999999998 6352.5 8837 9075
6321.3530000000001 6370 8862 9100
6338.8209999999999 6387.5 8887 9125
6356.2619999999997 6405 8912 9150
6373.8289999999997 6422.5 8937 9175
6391.2910000000002 6440 8962 9200
6408.8519999999999 6457.5 8986 9225
6426.4250000000002 6475 9011 9250
6443.8440000000001 6492.5 9036 9275
6461.2439999999997 6510 9061 9300
6478.7489999999998 6527.5 9086 9325
6496.2110000000002 6545 9111 9350
6513.652 6562.5 9136 9375
6531.2290000000003 6580 9160 9400
6548.7380000000003 6597.5 9185 9425
6566.0959999999995 6615 9210 9450
6583.4750000000004 6632.5 9235 9475
6600.9560000000001 6650 9260 9500
6618.4539999999997 6667.5 9284 9525
6636 6685 9309 9550
6653.4849999999997 6702.5 9334 9575
6670.8509999999997 6720 9359 9600
6688.268 6737.5 9384 9625
6705.7280000000001 6755 9409 9650
6723.107 6772.5 9434 9675
6740.5339999999997 6790 9458 9700
6758.1180000000004 6807.5 9483 9725
6775.5870000000004 6825 9508 9750
6793.1459999999997 6842.5 9533 9775
6810.7089999999998 6860 9558 9800
6828.1509999999998 6877.5 9583 9825
6845.7250000000004 6895 9608 9850
6863.277 6912.5 9633 9875
6880.6629999999996 6930 9657 9900
6898.0699999999997 6947.5 9682 9925
6915.5100000000002 6965 9707 9950
6932.9309999999996 6982.5 9732 9975
6950.4769999999999 7000 9757 10000
6968.0439999999999 7017.5 9782 10025
6985.4430000000002 7035 9807 10050
7002.9579999999996 7052.5 9831 10075
7020.3789999999999 7070 9856 10100
7037.8220000000001 7087.5 9881 10125
7055.299 7105 9906 10150
7072.808 7122.5 9931 10175
7090.2209999999995 7140 9956 10200
7107.6329999999998 7157.5 9980 10225
7125.1899999999996 7175 10005 10250
7142.692 7192.5 10030 10275
7160.1980000000003 7210 10055 10300
7177.7150000000001 7227.5 10080 10325
7195.1239999999998 7245 10105 10350
7212.6559999999999 7262.5 10130 10375
7230.0730000000003 7280 10155 10400
7247.5720000000001 7297.5 10180 10425
7264.9830000000002 7315 10204 10450
7282.509 7332.5 10229 10475
7300.009 7350 10254 10500
7317.4960000000001 7367.5 10279 10525
7335.0240000000003 7385 10304 10550
7352.6049999999996 7402.5 10329 10575
7370.1760000000004 7420 10353 10600
7387.6369999999997 7437.5 10378 10625
7405.0619999999999 7455 10403 10650
7422.5510000000004 7472.5 10428 10675
7440.0230000000001 7490 10453 10700
7457.5510000000004 7507.5 10478 10725
7475.0940000000001 7525 10503 10750
7492.5540000000001 7542.5 10528 10775
7509.8990000000003 7560 10552 10800
7527.4009999999998 7577.5 10577 10825
7544.9260000000004 7595 10602 10850
7562.4340000000002 7612.5 10627 10875
7580.0100000000002 7630 10652 10900
7597.5169999999998 7647.5 10677 10925
7615.0029999999997 7665 10702 10950
7632.4780000000001 7682.5 10727 10975
7649.8950000000004 7700 10751 11000
7667.3339999999998 7717.5 10776 11025
7684.884 7735 10801 11050
7702.4740000000002 7752.5 10826 11075
7719.9939999999997 7770 10851 11100
7737.4970000000003 7787.5 10876 11125
7754.973 7805 10901 11150
7772.3159999999998 7822.5 10926 11175
7789.7449999999999 7840 10951 11200
7807.1559999999999 7857.5 10976 11225
7824.6890000000003 7875 11000 11250
7842.2070000000003 7892.5 11025 11275
7859.8559999999998 7910 11050 11300
7877.4099999999999 7927.5 11075 11325
7894.9629999999997 7945 11100 11350
7912.3670000000002 7962.5 11125 11375
7929.8370000000004 7980 11149 11400
7947.2740000000003 7997.5 11174 11425
7964.8770000000004 8015 11199 11450
7982.2740000000003 8032.5 11224 11475
7999.6940000000004 8050 11249 11500
8017.174 8067.5 11274 11525
8034.7380000000003 8085 11299 11550
8052.2619999999997 8102.5 11323 11575
8069.7240000000002 8120 11348 11600
8087.3019999999997 8137.5 11373 11625
8104.7569999999996 8155 11398 11650
8122.152 8172.5 11423 11675
8139.652 8190 11448 11700
8157.1009999999997 8207.5 11472 11725
8174.4669999999996 8225 11497 11750
8191.9889999999996 8242.5 11522 11775
8209.5329999999994 8260 11547 11800
8226.8400000000001 8277.5 11572 11825
8244.1830000000009 8295 11597 11850
8261.6540000000005 8312.5 11622 11875
8279.2369999999992 8330 11646 11900
8296.6299999999992 8347.5 11671 11925
8314.1200000000008 8365 11696 11950
8331.4359999999997 8382.5 11721 11975
8348.9930000000004 8400 11746 12000
8366.509 8417.5 11771 12025
8383.9740000000002 8435 11796 12050
8401.3960000000006 8452.5 11821 12075
8418.7860000000001 8470 11845 12100
8436.2189999999991 8487.5 11870 12125
