reward maximum_reward best_actions total_actions
4.9100000000000001 7 0 10
11.840999999999999 14 10 20
17.943000000000001 21 15 30
24.52 28 23 40
30.850999999999999 35 29 50
37.179000000000002 42 36 60
43.545000000000002 49 43 70
49.802999999999997 56 49 80
56.012999999999998 63 56 90
62.447000000000003 70 62 100
68.721000000000004 77 69 110
75.097999999999999 84 76 120
81.382999999999996 91 83 130
87.632999999999996 98 89 140
94.042000000000002 105 96 150
100.31 112 103 160
106.577 119 109 170
112.935 126 116 180
119.324 133 123 190
125.694 140 130 200
132.071 147 137 210
138.416 154 144 220
144.761 161 151 230
151.20400000000001 168 158 240
157.661 175 165 250
164.012 182 172 260
170.46100000000001 189 179 270
176.93199999999999 196 186 280
183.37299999999999 203 193 290
189.78100000000001 210 200 300
196.24199999999999 217 207 310
202.68899999999999 224 214 320
209.05699999999999 231 221 330
215.52500000000001 238 228 340
221.88900000000001 245 235 350
228.29300000000001 252 242 360
234.76400000000001 259 249 370
241.202 266 256 380
247.66900000000001 273 264 390
254.148 280 271 400
260.65199999999999 287 278 410
267.23500000000001 294 285 420
273.80099999999999 301 293 430
280.185 308 300 440
286.767 315 307 450
293.25200000000001 322 315 460
299.73000000000002 329 322 470
306.19900000000001 336 330 480
312.56200000000001 343 337 490
319.10300000000001 350 345 500
325.56400000000002 357 352 510
332.149 364 359 520
338.63400000000001 371 367 530
345.08499999999998 378 374 540
351.56700000000001 385 382 550
358 392 389 560
364.47500000000002 399 397 570
370.96300000000002 406 405 580
377.50999999999999 413 412 590
383.95999999999998 420 420 600
390.44600000000003 427 427 610
397 434 435 620
403.40899999999999 441 443 630
410.048 448 450 640
416.53399999999999 455 458 650
423.06999999999999 462 466 660
429.67399999999998 469 473 670
436.197 476 481 680
442.77499999999998 483 489 690
449.30000000000001 490 497 700
455.82100000000003 497 504 710
462.428 504 512 720
468.97899999999998 511 520 730
475.63799999999998 518 528 740
482.202 525 536 750
488.78300000000002 532 543 760
495.31700000000001 539 551 770
501.887 546 559 780
508.54599999999999 553 567 790
515.101 560 575 800
521.62 567 583 810
528.22699999999998 574 591 820
534.86800000000005 581 599 830
541.45299999999997 588 607 840
548.02300000000002 595 615 850
554.56500000000005 602 623 860
561.21000000000004 609 631 870
567.79300000000001 616 639 880
574.36400000000003 623 647 890
580.97500000000002 630 655 900
587.57600000000002 637 663 910
594.07299999999998 644 671 920
600.74300000000005 651 679 930
607.31399999999996 658 687 940
613.89099999999996 665 695 950
620.53399999999999 672 703 960
627.13199999999995 679 711 970
633.82100000000003 686 719 980
640.35500000000002 693 727 990
646.99199999999996 700 735 1000
653.70799999999997 707 743 1010
660.26700000000005 714 751 1020
666.86199999999997 721 759 1030
673.49000000000001 728 767 1040
680.09500000000003 735 776 1050
686.78300000000002 742 784 1060
693.39700000000005 749 792 1070
700.09000000000003 756 800 1080
706.72799999999995 763 808 1090
713.41899999999998 770 816 1100
720.05899999999997 777 825 1110
726.74199999999996 784 833 1120
733.35400000000004 791 841 1130
740.09900000000005 798 849 1140
746.77700000000004 805 857 1150
753.50300000000004 812 866 1160
760.197 819 874 1170
766.774 826 882 1180
773.495 833 890 1190
780.13400000000001 840 899 1200
786.827 847 907 1210
793.47299999999996 854 915 1220
800.11900000000003 861 924 1230
806.77300000000002 868 932 1240
