reward maximum_reward best_actions total_actions
5.1 7 0 10
11.98 14 10 20
18.27 21 16 30
25.13 28 25 40
31.72 35 33 50
38.1 42 40 60
44.84 49 49 70
51.41 56 57 80
58.16 63 64 90
64.83 70 73 100
71.14 77 81 110
77.93 84 88 120
84.58 91 97 130
91.5 98 105 140
98.4 105 114 150
105.18 112 122 160
111.97 119 131 170
118.92 126 139 180
125.64 133 148 190
132.21 140 156 200
138.88 147 165 210
145.56 154 174 220
152.31 161 183 230
159.13 168 192 240
165.89 175 201 250
172.52 182 209 260
179.37 189 218 270
186.08 196 228 280
192.92 203 236 290
199.77 210 245 300
206.37 217 254 310
213.07 224 263 320
219.86 231 272 330
226.42 238 280 340
233.05 245 289 350
239.84 252 298 360
246.57 259 307 370
253.45 266 316 380
260.44 273 325 390
267.18 280 334 400
274.15 287 343 410
280.91 294 352 420
287.52 301 361 430
294.51 308 370 440
301.36 315 379 450
308.43 322 389 460
315.26 329 398 470
322.14 336 407 480
328.59 343 416 490
335.5 350 425 500
342.34 357 434 510
349.24 364 443 520
355.83 371 453 530
362.51 378 462 540
369.56 385 471 550
376.6 392 480 560
383.51 399 490 570
390.67 406 500 580
397.51 413 509 590
404.74 420 518 600
411.53 427 528 610
418.14 434 537 620
424.74 441 545 630
431.34 448 555 640
438.08 455 564 650
444.72 462 573 660
451.54 469 582 670
458.46 476 591 680
465.37 483 601 690
472.21 490 610 700
479.25 497 620 710
486.21 504 629 720
493 511 638 730
500.11 518 648 740
506.72 525 657 750
513.39 532 667 760
520.27 539 675 770
527.51 546 685 780
534.18 553 694 790
541.02 560 704 800
548.05 567 713 810
554.93 574 723 820
561.57 581 732 830
568.58 588 741 840
575.39 595 751 850
582.29 602 760 860
589.24 609 770 870
595.85 616 779 880
602.83 623 789 890
609.8 630 798 900
616.71 637 808 910
623.66 644 818 920
630.46 651 827 930
637.4 658 836 940
644.32 665 846 950
651.24 672 855 960
658.02 679 865 970
665.21 686 875 980
672.01 693 884 990
